Fecha;Hora;"Gx Eólica
[MW]";"Gx. Geotérmica
[MW]";"Gx Hidráulica Pasada
[MW]";"Gx Hidráulica Embalse
[MW]";"Gx Solar
[MW]"
15-09-2020;3;359,4981464;17,7752;324,0365911;1813,61214;0
15-09-2020;4;279,005183;26,8961;320,8606885;1903,61622;0
15-09-2020;5;156,4028788;26,6647;320,704404;2012,68384;0
15-09-2020;6;139,7598043;26,577;309,6781461;2046,51488;0
15-09-2020;7;199,9332133;18,0061;306,773217;2050,71628;0,222740677
15-09-2020;8;272,1131118;17,335;304,4459826;2158,13934;30,47941413
15-09-2020;9;263,8418699;17,5552;294,8796318;2122,9673;577,8686811
15-09-2020;10;196,2444404;17,7942;294,1876915;1805,49916;1493,793498
15-09-2020;11;145,5146473;17,6465;289,1117738;1882,1977;2066,308916
15-09-2020;12;156,8662728;17,792;283,0408204;1921,55064;2241,325373
15-09-2020;13;193,1425901;16,5948;283,7745069;1687,60056;2370,260828
15-09-2020;14;204,5697137;22,8226;284,0931491;1811,78206;2440,453244
15-09-2020;15;229,0764169;25,0327;287,8232919;2120,35722;2416,017849
15-09-2020;16;278,7974751;25,4897;297,5013653;1989,25766;2371,322747
15-09-2020;17;387,5668645;25,7958;305,7565038;1935,73904;2230,017218
15-09-2020;18;439,0342226;25,9496;311,1787671;1777,858;1871,222172
15-09-2020;19;519,0179583;25,9743;319,0041962;2010,41178;934,3803655
15-09-2020;20;534,8075887;25,9939;330,8100711;2528,34446;53,97150439
15-09-2020;21;440,4445003;26,2389;338,1472292;2903,50346;0
15-09-2020;22;460,2711256;26,4519;337,9331758;2873,13302;0
15-09-2020;23;482,21881;26,4255;335,5725554;2850,14492;0
15-09-2020;24;476,4554928;25,3519;335,1027616;2591,99574;0
16-09-2020;1;563,0983472;25,9981;328,6097744;2270,91428;0
16-09-2020;2;448,4528499;26,1995;327,0291838;2080,62786;0
16-09-2020;3;350,9507979;26,2311;322,4007029;1975,5921;0
16-09-2020;4;376,3741495;26,4621;320,4183936;1882,00392;0
16-09-2020;5;405,0065932;25,5916;319,8460319;1901,41686;0
16-09-2020;6;400,3814771;25,5714;306,3670131;2020,13568;0
16-09-2020;7;474,8912633;25,7579;303,4186639;2046,43484;0
16-09-2020;8;526,0240853;26,2328;295,1810748;2113,46776;19,4630141
16-09-2020;9;438,6899945;25,8575;285,1126046;2092,3497;716,8955609
16-09-2020;10;314,6827737;25,9838;281,705254;2000,06312;1831,369569
16-09-2020;11;379,9166592;25,4796;279,8608105;2074,13298;2322,6487
16-09-2020;12;498,4963713;25,5008;272,5413709;2047,02548;2494,57359
16-09-2020;13;620,1343853;24,6478;275,4508352;2043,5049;2579,609218
