Fecha;Hora;"Demanda
[MW]"
18-10-2020;2;7836
18-10-2020;3;7575
18-10-2020;4;7395
18-10-2020;5;7367
18-10-2020;6;7344
18-10-2020;7;7335
18-10-2020;8;7161
18-10-2020;9;7341
18-10-2020;10;7576
18-10-2020;11;7847
18-10-2020;12;8088
18-10-2020;13;8135
18-10-2020;14;8238
18-10-2020;15;8236
18-10-2020;16;8093
18-10-2020;17;7992
18-10-2020;18;8014
18-10-2020;19;8165
18-10-2020;20;8141
18-10-2020;21;8989
18-10-2020;22;9176
18-10-2020;23;8893
18-10-2020;24;8424
19-10-2020;1;8037
19-10-2020;2;7726
19-10-2020;3;7484
19-10-2020;4;7384
